group0,group1,group2,marka,model,catalog_number,reason
гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,hyundai,R320LC-7,31n9-60110,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,hyundai,R160LC-9S,,Not found on Avito
запчасти двигателя,подушка,,doosan,,,Not found on Avito
гидравлический компонент,гидроцилиндр,!,volvo,EC480DL,,Not found on Avito
электрическая система,жгут проводов,проводка двигателя,hyundai,,,Not found on Avito
рабочее оборудование,пальцы и втулки,!,cat,320,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,kobelco,,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,komatsu,PC200-8,,Not found on Avito
гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,hyundai,R330LC-9S,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,cat,318,,Not found on Avito
гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,volvo,EC290,,Not found on Avito
гидравлический компонент,гидромотор,гидромотор поворота,doosan,,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,hyundai,,31n7-10011,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,volvo,EC240,14577124,Not found on Avito
!,уплотнение,,doosan,,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,komatsu,PC200-7,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,hyundai,R260LC-9S,,Not found on Avito
гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,komatsu,PC300-7,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,hyundai,R260LC-9S,31q7-40040,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,komatsu,PC400-7,,Not found on Avito
